"TPL_FAMILY","TPL_ORDER","APGIII_NUMBER"
"Torreyaceae","Pinales",NA
"Torricelliaceae","Apiales",408
"Tovariaceae","Brassicales",267
"Tradescantiaceae","Commelinales",NA
"Tragiaceae","Malpighiales",NA
"Trapaceae","Myrtales",NA
"Trapellaceae","Lamiales",NA
"Tremandraceae","Oxalidales",NA
"Trewiaceae","Malpighiales",NA
"Tribelaceae","Escalloniales",NA
"Tribulaceae","Zygophyllales",NA
"Trichopodaceae","Dioscoreales",NA
"Tricyrtidaceae","Liliales",NA
"Trifoliaceae","Fabales",NA
"Triglochinaceae","Alismatales",NA
"Trigoniaceae","Malpighiales",193
"Trilliaceae","Liliales",NA
"Trimeniaceae","Austrobaileyales",6
"Triplobaceae","Malvales",NA
"Triplochitonaceae","Malvales",NA
"Triplostegiaceae","Dipsacales",NA
"Tristichaceae","Malpighiales",NA
"Triticaceae","Poales",NA
"Triuridaceae","Pandanales",47
"Trochodendraceae","Trochodendrales",119
"Tropaeolaceae","Brassicales",258
"Tulbaghiaceae","Asparagales",NA
"Tulipaceae","Liliales",NA
"Tumboaceae","Gnetales",NA
"Tupistraceae","Asparagales",NA
"Turneraceae","Malpighiales",NA
"Tussilagaceae","Asterales",NA
"Typhaceae","Poales",91
"Uapacaceae","Malpighiales",NA
"Ullucaceae","Caryophyllales",NA
"Ulmaceae","Rosales",152
"Ulmariaceae","Rosales",NA
"Umbelliferae","Apiales",NA
"Unisemataceae","Commelinales",NA
"Urticaceae","Rosales",155
"Utriculariaceae","Lamiales",NA
"Uvulariaceae","Liliales",NA
"Vacciniaceae","Ericales",NA
"Vahliaceae","unplacedasteridI",355
"Valerianaceae","Dipsacales",NA
"Vallisneriaceae","Alismatales",NA
"Vanillaceae","Asparagales",NA
"Velloziaceae","Pandanales",48
"Veratraceae","Liliales",NA
"Verbascaceae","Lamiales",NA
"Verbenaceae","Lamiales",382
"Vernicaceae","Sapindales",NA
"Vernoniaceae","Asterales",NA
"Veronicaceae","Lamiales",NA
"Viburnaceae","Dipsacales",NA
"Viciaceae","Fabales",NA
"Vincaceae","Gentianales",NA
"Violaceae","Malpighiales",202
"Viscaceae","Santalales",NA
"Vitaceae","Vitales",140
"Viticaceae","Lamiales",NA
"Vivianiaceae","Geraniales",216
"Vochysiaceae","Myrtales",221
"Wachendorfiaceae","Commelinales",NA
"Walleriaceae","Asparagales",NA
"Wellingtoniaceae","Sabiales",NA
"Wellstediaceae","Boraginales",NA
"Welwitschiaceae","Gnetales",NA
"Widdringtoniaceae","Pinales",NA
"Willughbieaceae","Gentianales",NA
"Winteraceae","Canellales",10
"Wolffiaceae","Alismatales",NA
"Xanthiaceae","Asterales",NA
"Xanthoceraceae","Sapindales",NA
"Xanthophyllaceae","Fabales",NA
"Xanthorrhoeaceae","Asparagales",73
"Xeranthemaceae","Asterales",NA
"Xeronemataceae","Asparagales",72
"Xerophyllaceae","Liliales",NA
"Ximeniaceae","Santalales",NA
"Xiphidiaceae","Commelinales",NA
"Xyridaceae","Poales",94
"Yuccaceae","Asparagales",NA
"Zamiaceae","Cycadales",NA
"Zannichelliaceae","Alismatales",NA
"Zanoniaceae","Cucurbitales",NA
"Zanthoxylaceae","Sapindales",NA
"Zeaceae","Poales",NA
"Zephyranthaceae","Asparagales",NA
"Zingiberaceae","Zingiberales",89
"Ziziphaceae","Rosales",NA
"Zosteraceae","Alismatales",38
"Zoysiaceae","Poales",NA
"Zygophyllaceae","Zygophyllales",142
"Guametalaceae",NA,231
"Ripogonaceae",NA,58
